2017-10-27 22:24:02.326 INFO  DefaultFactory Logging to 'E:\Development Zone\GitHub\RetailDemo\Shipping\bin\Debug\' with level Info
2017-10-27 22:24:02.600 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '10/27/2017'

2017-10-27 22:24:02.654 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'RingMaster-PC\chisty' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "RingMaster-PC\chisty" /add
2017-10-27 22:24:02.722 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-10-27 22:24:02.728 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-10-27 22:24:02.735 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-10-27 22:40:43.289 INFO  DefaultFactory Logging to 'E:\Development Zone\GitHub\RetailDemo\Shipping\bin\Debug\' with level Info
2017-10-27 22:40:43.821 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '10/27/2017'

2017-10-27 22:40:45.972 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'RingMaster-PC\chisty' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "RingMaster-PC\chisty" /add
2017-10-27 22:40:46.122 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-10-27 22:40:46.144 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
